DEBUG 2024-10-21 12:12:55,250 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\asyncio\format_helpers.py first seen with mtime 1722958350.0
DEBUG 2024-10-21 12:12:55,251 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1729063315.122772
DEBUG 2024-10-21 12:12:55,252 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\db\transaction.py first seen with mtime 1729063315.1207771
DEBUG 2024-10-21 12:12:55,252 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\MySQLdb\converters.py first seen with mtime 1729075091.072115
DEBUG 2024-10-21 12:12:55,254 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\db\models\enums.py first seen with mtime 1729063315.1656575
DEBUG 2024-10-21 12:12:55,254 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\contrib\admin\utils.py first seen with mtime 1729063312.9973402
DEBUG 2024-10-21 12:12:55,255 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1729063315.1247666
DEBUG 2024-10-21 12:12:55,256 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\core\checks\compatibility\__init__.py first seen with mtime 1729063315.080884
DEBUG 2024-10-21 12:12:55,257 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\json\scanner.py first seen with mtime 1722958352.0
DEBUG 2024-10-21 12:12:55,258 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\db\backends\mysql\validation.py first seen with mtime 1729063315.1337428
DEBUG 2024-10-21 12:12:55,258 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\db\migrations\operations\base.py first seen with mtime 1729063315.1586785
DEBUG 2024-10-21 12:12:55,259 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\core\files\storage\handler.py first seen with mtime 1729063315.0908568
DEBUG 2024-10-21 12:12:55,260 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1729063315.0928514
DEBUG 2024-10-21 12:12:55,263 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\contrib\admindocs\utils.py first seen with mtime 1729063313.376326
